,release_date,movie,worldwide,India_hindi_net,india_gross,overseas,budget,verdict
313,17-05-2019,De De Pyaar De,143.9,104.13,122.9,21,75,Hit
314,10-05-2019,Student Of The Year 2,95.5,70.86,84.5,11,75,Below Average
315,03-05-2019,Setters,1.62,1.35,1.62,0,15,Disaster
316,03-05-2019,Blank,8.6,6.45,7.6,1,30,Disaster
317,26-04-2019,Avengers End Game,18970,116.47,445,13335,2500,SuperHit
318,17-04-2019,Kalank,146.8,84.6,99.8,47,150,Flop
319,12-04-2019,The Tashkent Files,20,16.41,19.4,0.6,8,SuperHit
320,05-04-2019,Romeo Akbar Walter,58,42.85,50.5,7.5,35,Above Average
321,29-03-2019,Notebook,6.6,4.97,6,0.6,20,Flop
322,29-03-2019,Junglee,32.7,24.76,29.2,3.5,50,Flop
323,21-03-2019,Mard Ko Dard Nahi Hota,3.5,2.55,3,0.5,21,Disaster
324,21-03-2019,Kesari,208.8,155.7,183.8,25,100,Hit
325,15-03-2019,Photograph,2.03,1.45,1.82,0.21,19,Disaster
326,08-03-2019,Badla,140.47,88.53,104.47,36,20,SuperHit
327,01-03-2019,Sonchiriya,8.5,6.66,7.8,0.7,30,Disaster
328,01-03-2019,Luka Chuppi,128,94.09,111,17,20,SuperHit
329,22-02-2019,Total Dhamaal,232.18,155.67,183.68,48.5,105,SuperHit
330,14-02-2019,Gully Boy,235.7,139.63,164.7,71,60,SuperHit
331,01-02-2019,Ek Ladki Ko Dekha Toh Aisa Laga,44,22.45,26,18,50,Flop
332,25-01-2019,Thackeray,50.3,23.12,46.3,4,40,Above Average
333,25-01-2019,Manikarnika: The Queen of Jhansi,142,94.37,116.6,25.4,101,Average
334,18-01-2019,Why Cheat India,14.5,10.92,13,1.5,25,Disaster
335,11-01-2019,The Accidental Prime Minister,26.5,20.22,24,2.5,25,Flop
336,11-01-2019,URI The Surgical Strike,341.75,244.14,293.75,48,70,All Time Blockbuster
337,10-01-2019,Petta,232.92,1.92,158.92,74,160,Flop
